repo_owner,repo_name,username,date,total_additions,total_deletions,commit_count,pr_count,issue_count
rkhxream,2020-1-OSS-1,ubcbsoqz,2020-06-06,202,131,9,4,1
rkhxream,2020-1-OSS-6,ysvczkmr,2020-05-21,79933,120,67,7,1
kdascblm,2019-1-OSS-E2,acfovdxx,2019-06-08,147,67,11,3,1
kdascblm,2019-1-OSS-E2,acfovdxx,2019-06-05,114,15,5,2,1
kdascblm,2019-1-OSS-E2,acfovdxx,2019-06-09,124,96,4,3,1
rkhxream,c9-python-getting-started,ybmlneou,2020-06-08,43,48,5,1,1
rkhxream,c9-python-getting-started,lbfgdond,2020-06-06,63,63,9,3,4
rkhxream,c9-python-getting-started,ybmlneou,2020-06-06,85,61,6,3,2
kdascblm,2019-1-OSS-E4,mfupziin,2019-06-08,328,1,5,1,2
kdascblm,2019-1-OSS-E4,mfupziin,2019-06-10,385,1,7,3,4
sfouyrgk,2020-2-OSS-6-Project,byackmcb,2020-12-05,20,12,2,1,2
kdascblm,2019-1-OSS-L4,qwnlyebb,2019-05-28,194,54,13,1,3
osrzlwsr,LSC-Systems,fovhdtqk,2020-07-21,218,99,10,3,1
dvzkrvad,icampus-manager,dvzkrvad,2022-11-27,2530,957,8,3,1
dvzkrvad,icampus-manager,dvzkrvad,2022-10-23,366,170,4,1,3
dvzkrvad,icampus-manager,dvzkrvad,2022-10-26,396,180,8,2,3
dvzkrvad,icampus-manager,dvzkrvad,2022-10-18,892,184,10,3,5
dvzkrvad,icampus-manager,dvzkrvad,2022-11-08,615,467,12,4,2
dvzkrvad,icampus-manager,dvzkrvad,2022-11-17,1402,773,13,3,1
dvzkrvad,icampus-manager,dvzkrvad,2022-10-29,41,17,6,3,3
dvzkrvad,icampus-manager,dvzkrvad,2022-11-16,391,67,7,1,1
dvzkrvad,icampus-manager,dvzkrvad,2022-10-17,641,29,7,1,1
dvzkrvad,icampus-manager,dvzkrvad,2022-10-24,1142,196,8,2,1
dvzkrvad,icampus-manager,dvzkrvad,2022-11-03,3393,1034,14,8,2
dvzkrvad,icampus-manager,dvzkrvad,2022-11-07,1599,313,10,3,4
dvzkrvad,icampus-manager,dvzkrvad,2022-11-01,2102,514,5,1,2
dvzkrvad,icampus-manager,dvzkrvad,2022-11-06,214,85,5,1,1
dvzkrvad,icampus-manager,dvzkrvad,2022-11-19,97,21,5,2,1
dvzkrvad,icampus-manager,dvzkrvad,2022-11-04,719,171,10,3,1
dvzkrvad,icampus-manager,dvzkrvad,2022-10-25,12,3,3,2,1
bohojnej,OSS_Collab,bohojnej,2021-05-23,327,291,1,1,1
xyanlalz,final-project-level3-nlp-01,srpmrxlr,2022-06-02,561,184,4,1,1
gnaytozf,final-project-level3-recsys-01,bbweorzv,2023-02-07,162,88,10,1,3
gnaytozf,final-project-level3-recsys-01,bbweorzv,2023-02-12,415,270,9,2,2
eohiefuz,Web35-CryptoGraph,thwqqent,2022-12-13,911,819,12,1,1
eohiefuz,Web35-CryptoGraph,thwqqent,2022-12-04,262,227,9,1,1
eohiefuz,Web35-CryptoGraph,thwqqent,2022-11-09,46743,4142,6,1,1
gnaytozf,final-project-level3-recsys-01,bbweorzv,2022-12-19,164,4,3,2,1
eohiefuz,Web35-CryptoGraph,thwqqent,2022-12-06,1471,913,15,1,2
eohiefuz,Web35-CryptoGraph,thwqqent,2022-11-27,46,15,4,1,1
eohiefuz,Web35-CryptoGraph,thwqqent,2022-12-12,841,473,20,1,1
eohiefuz,Web35-CryptoGraph,thwqqent,2022-12-05,281,131,5,1,2
eohiefuz,Web35-CryptoGraph,thwqqent,2022-12-11,564,297,10,2,1
eohiefuz,Web35-CryptoGraph,thwqqent,2022-11-30,607,304,10,1,2
eohiefuz,Web35-CryptoGraph,thwqqent,2022-11-26,576,137,7,1,2
eohiefuz,Web35-CryptoGraph,thwqqent,2022-11-17,2593,854,2,1,5
eohiefuz,Web35-CryptoGraph,thwqqent,2022-11-24,354,386,3,1,1
gnaytozf,level2_dkt_recsys-level2-recsys-01,bbweorzv,2022-12-02,1070,487,6,4,1
gnaytozf,level2_dkt_recsys-level2-recsys-01,bbweorzv,2022-11-25,1,1,1,1,1
gnaytozf,level2_movierecommendation_recsys-level2-recsys-01,bbweorzv,2023-01-02,4439,2385,17,1,4
lcizbtay,creator_prop_analyzer,lcizbtay,2022-10-23,36434,464,14,2,1
bsdaxbfv,NetProject,ivcshfyd,2022-06-01,15,0,1,1,1
eohiefuz,Web35-CryptoGraph,thwqqent,2022-12-08,581,250,16,1,2
eohiefuz,Web35-CryptoGraph,thwqqent,2022-12-07,717,363,8,2,4
eohiefuz,Web35-CryptoGraph,thwqqent,2022-11-29,800,382,14,2,4
eohiefuz,Web35-CryptoGraph,thwqqent,2022-12-01,8882,43519,19,2,1
eohiefuz,Web35-CryptoGraph,thwqqent,2022-11-28,587,245,9,1,1
eohiefuz,Web35-CryptoGraph,thwqqent,2022-12-02,255,259,7,1,1
jljdqjtg,project-react-4-yujong-lee,pwjigyki,2021-07-12,1684,1739,13,1,2
jljdqjtg,project-react-4-yujong-lee,pwjigyki,2021-07-21,146,26,4,2,2
jljdqjtg,project-react-4-yujong-lee,pwjigyki,2021-07-20,378,108,6,3,1
xqdbcihj,seq2seq,xqdbcihj,2021-03-20,227,101,4,2,1
xqdbcihj,transformers-tf-finetune,xqdbcihj,2022-10-28,748,978,8,2,1
xqdbcihj,seq2seq,xqdbcihj,2021-03-21,113,86,2,2,1
xqdbcihj,seq2seq,xqdbcihj,2021-05-23,243,211,1,1,1
xqdbcihj,speech-recognition,xqdbcihj,2021-06-06,788,412,13,3,1
xqdbcihj,speech-recognition,xqdbcihj,2021-06-13,23,42,2,1,1
xqdbcihj,speech-recognition,xqdbcihj,2021-05-13,107,88,6,1,1
xqdbcihj,speech-recognition,xqdbcihj,2021-05-21,180,103,6,3,1
xqdbcihj,speech-recognition,xqdbcihj,2021-05-14,4,3,1,1,1
xqdbcihj,speech-recognition,xqdbcihj,2021-06-01,1,0,1,1,1
xqdbcihj,transformers-bart-pretrain,xqdbcihj,2021-07-03,124,53,6,2,1
rztzeufo,MC2-Team11-NDOM,ppicncro,2022-06-10,2056,474,15,2,1
rztzeufo,MC2-Team11-NDOM,ppicncro,2022-06-13,824,1198,9,5,2
rztzeufo,MC2-Team11-NDOM,ppicncro,2022-06-08,4315,1010,3,1,1
rztzeufo,MC3-Team11-DBAL,ppicncro,2022-07-16,1864,202,5,1,1
rztzeufo,MC3-Team11-DBAL,ppicncro,2022-07-14,2256,556,11,5,1
nfkrwywr,dokkang-application,xqdbcihj,2022-11-03,416,421,7,1,1
nfkrwywr,dokkang-server,xqdbcihj,2022-10-13,107,4,4,3,2
kdascblm,2019-1-OSS-L4,qwnlyebb,2019-05-21,16,0,1,0,1
rkhxream,2020-1-OSS-6,ysvczkmr,2020-06-08,59,14,13,0,3
sfouyrgk,2020-2-OSS-4,asvpyioe,2020-12-05,18,0,1,0,1
kdascblm,2019-1-OSS-E4,mfupziin,2019-06-09,99,17,9,0,1
sfouyrgk,2020-2-OSS-9,thwqqent,2020-11-19,12,1,3,0,1
uvncbhon,LGuplus,qmaviegi,2022-06-16,20,18,6,0,1
eohiefuz,Web35-CryptoGraph,thwqqent,2022-11-15,25,0,1,0,1
rztzeufo,MC3-Team11-DBAL,ppicncro,2022-07-06,162,3,9,0,2
rztzeufo,MC3-Team11-DBAL,ppicncro,2022-07-19,262,62,3,1,1
rztzeufo,MC3-Team11-DBAL,ppicncro,2022-07-18,282,442,6,1,1
cbggxvsc,ProjectYOLO,ppicncro,2022-10-22,172,73,3,1,1
cbggxvsc,ProjectYOLO,ppicncro,2022-11-30,3720,1040,6,2,1
cbggxvsc,ProjectYOLO,ppicncro,2022-10-19,105,117,7,2,2
cbggxvsc,ProjectYOLO,ppicncro,2022-11-08,316,185,7,2,1
cbggxvsc,ProjectYOLO,ppicncro,2022-11-14,49345,24464,10,1,1
cbggxvsc,ProjectYOLO,ppicncro,2022-11-09,771,655,4,0,1
cbggxvsc,ProjectYOLO,ppicncro,2022-10-11,25893,23624,6,1,1
fovhdtqk,hun-piano,fovhdtqk,2020-07-23,504,0,1,1,5
kwwjkrbl,iCampusCheckPlus,bifxjiur,2022-05-22,13,24,3,0,1
zhapdphc,2022-G.Ipsa-SolutionChallenge,nkytfnux,2022-03-30,133,58,1,1,1
qmaviegi,OSS_FinalProject_EaTogether,qmaviegi,2021-05-24,5253,1147,13,3,1
vewscrbe,gluesql,pwjigyki,2022-07-12,1780,12,1,0,1
ejcmmmul,skku-namecard-generator,uvncbhon,2022-05-21,25,6,4,0,1
ejcmmmul,skku-namecard-generator,uvncbhon,2022-05-13,18,11,2,0,1
nefdxjao,Virtual_Tryon,nefdxjao,2022-08-23,177,128,5,0,1
rgzbngej,OSS_team19_project,erttnrfc,2021-11-26,139,79,10,0,2
spcoiffp,OSS_team12,spcoiffp,2022-11-25,17,1,2,0,4
omvanzgw,Hangout,gfzpdlnx,2022-12-02,17,6,11,0,1
pvnkzuug,WEB_Millage_ICM,xqxemgpd,2021-10-12,4226,391,22,0,2
pvnkzuug,WEB_Millage_ICM,xqxemgpd,2021-09-26,384,114,2,0,1
pvnkzuug,WEB_Millage_ICM,xqxemgpd,2021-10-10,1494,259,17,0,1
pvnkzuug,WEB_Millage_ICM,xqxemgpd,2021-10-08,606,171,15,1,1
yqcdrfuj,Amoo,kkgolznk,2022-12-27,3,0,1,0,3
zfzjfhdj,graphql-schema-generator,pwjigyki,2021-12-19,320,157,4,4,1
gdyicfvv,stolage-demo-front,pwjigyki,2021-03-19,49,18,3,0,1
iordbryv,easy_mbti,iordbryv,2021-11-25,46,10,1,0,1
ssnzysqm,SWE3043_URP,igcbqeuh,2022-06-03,74,38,7,0,1
uwcmlrne,routine,yewgoqxc,2021-11-24,1651,956,5,0,2
fpkvvltj,SKKU-OSP,wybglbir,2022-08-09,5363,3463,13,0,1
bbgdfyjw,codedang,fovhdtqk,2023-02-15,2881,61,2,1,5
bbgdfyjw,codedang,sehqoxby,2023-02-02,73,86,2,0,1
bbgdfyjw,codedang,tslajkif,2023-01-10,74,23,1,0,1
bbgdfyjw,codedang,yewgoqxc,2022-09-25,9,1,1,1,1
bbgdfyjw,codedang,fovhdtqk,2022-03-25,1,1,1,1,1
rkhxream,2020-1-OSS-6,ysvczkmr,2020-06-07,85,0,5,0,3
kdascblm,2019-1-OSS-L4,qwnlyebb,2019-06-04,75,2,3,0,3
uvncbhon,LGuplus,qmaviegi,2022-06-15,131434,652,7,0,1
ikrumqno,OSS-Project-Team6,lgtsdsjk,2021-05-15,425,0,2,0,1
jljdqjtg,project-react-4-yujong-lee,pwjigyki,2021-07-03,41499,159,9,0,1
jljdqjtg,project-react-4-yujong-lee,pwjigyki,2021-07-05,948,500,12,0,2
xqdbcihj,transformers-tf-finetune,xqdbcihj,2021-08-14,3174,73,4,0,1
ppicncro,IndividualProjcet-WebtoonRecommendation,ppicncro,2022-07-30,22782,22,16,0,3
rztzeufo,MC3-Team11-DBAL,ppicncro,2022-07-27,3415,429,16,7,2
nfkrwywr,dokkang-application,xqdbcihj,2022-11-01,275,96,1,0,2
rztzeufo,MC3-Team11-DBAL,ppicncro,2022-07-13,993,14,6,0,2
rztzeufo,MC3-Team11-DBAL,ppicncro,2022-07-29,2400,1098,14,1,1
cbggxvsc,ProjectYOLO,ppicncro,2022-11-15,900,74,10,1,1
cbggxvsc,ProjectYOLO,ppicncro,2022-12-06,286,374,5,1,1
cbggxvsc,ProjectYOLO,ppicncro,2022-11-29,20,0,2,1,3
fovhdtqk,hun-piano,fovhdtqk,2020-07-24,637,56,4,0,2
cbggxvsc,ProjectYOLO,ppicncro,2022-11-17,5,2,1,1,1
cbggxvsc,ProjectYOLO,ppicncro,2022-10-18,228,109,5,1,1
fovhdtqk,hun-piano,fovhdtqk,2020-08-23,14,9,2,0,1
ytwcduho,dooboo-ui,pwjigyki,2021-08-08,155,66,2,2,1
hguanmah,E-SPORTS_SCHEDULER,kvmjcomv,2022-12-01,664,103,5,0,2
xapsomgz,NKHS-SW-2022-2,xapsomgz,2022-10-21,10,0,1,1,2
xapsomgz,NkTimes-backend,xapsomgz,2023-01-02,250,195,7,3,1
cnfdljyc,2022spring_SKKUNetworkProject_team9,vcqjzepb,2022-06-01,1433,548,20,5,1
nefdxjao,RVM_Optimal_location-Barcode_Reader,nefdxjao,2022-08-15,103,37,22,0,1
qymvtqfw,PS,qymvtqfw,2020-11-09,886,984,53,0,1
zqujmqjk,Video_Streamer,ysvczkmr,2022-05-31,111568,51,2,0,2
omvanzgw,Hangout,gfzpdlnx,2022-12-01,693,2,2,0,1
pvnkzuug,WEB_Millage_ICM,xqxemgpd,2021-09-30,1551,814,13,5,1
pvnkzuug,WEB_Millage_ICM,xqxemgpd,2021-09-25,254,3,4,1,9
pvnkzuug,WEB_Millage_ICM,xqxemgpd,2021-09-18,186,56,2,0,3
pvnkzuug,WEB_Millage_ICM,xqxemgpd,2021-10-15,1351,393,19,0,2
pvnkzuug,WEB_Millage_ICM,xqxemgpd,2021-09-28,729,181,18,7,1
pvnkzuug,WEB_Millage_ICM,xqxemgpd,2021-10-17,1006,366,25,10,3
pvnkzuug,WEB_Millage_ICM,xqxemgpd,2021-10-09,1434,310,13,0,1
pvnkzuug,WEB_Millage_ICM,xqxemgpd,2021-10-16,4466,493,34,2,1
pvnkzuug,WEB_Millage_ICM,xqxemgpd,2021-10-07,1779,615,11,0,2
pvnkzuug,WEB_Millage_ICM,xqxemgpd,2021-09-27,6118,2914,13,5,2
zfzjfhdj,graphql-schema-generator,pwjigyki,2021-12-24,779,24,3,2,1
zfzjfhdj,graphql-schema-generator,pwjigyki,2021-12-20,50,7,1,1,1
zfzjfhdj,graphql-schema-generator,pwjigyki,2021-12-17,307,67,5,2,1
qtvygoef,crdt,yojatftx,2022-10-21,20,0,1,0,1
abgxbiwm,SKKU_Trip_Checker,rmvzbbhu,2022-11-29,195,19,5,1,2
nhaqcrjd,sources,fovhdtqk,2020-10-29,0,0,2,1,3
nhaqcrjd,sources,fovhdtqk,2020-09-21,109,0,2,1,6
fpkvvltj,SKKU-OSP,otfgeisq,2022-08-10,891,478,8,0,2
fpkvvltj,GitHub_Crawl,wybglbir,2021-08-31,91,188,2,0,5
bbgdfyjw,codedang,yewgoqxc,2022-12-21,6,0,1,1,1
bbgdfyjw,codedang,fovhdtqk,2022-11-09,16,2,3,1,1
bbgdfyjw,codedang,fovhdtqk,2022-09-26,1,1,1,1,1
bbgdfyjw,codedang,asvpyioe,2023-02-02,25,24,2,2,1
kdascblm,2019-1-OSS-E2,acfovdxx,2019-06-04,373,24,15,0,1
kdascblm,2019-1-OSS-E2,acfovdxx,2019-05-29,34,3,1,0,1
dqbncdxs,LOLProject,dqbncdxs,2021-08-18,127636,0,1,0,1
uvncbhon,LGuplus,uvncbhon,2022-06-13,2028,23,11,0,2
dvzkrvad,icampus-manager,dvzkrvad,2022-10-16,10940,4,2,0,1
wrurahqv,Code-Everyday-2020,wrurahqv,2020-01-25,1,1,1,0,1
ynmizpps,p4-opt-5-vibrhanium-,rmvzbbhu,2021-05-29,362,0,2,0,2
ynmizpps,p4-opt-5-vibrhanium-,rmvzbbhu,2021-05-25,4248,346,7,0,1
eohiefuz,Web35-CryptoGraph,thwqqent,2022-11-20,194,168,7,0,1
eohiefuz,Web35-CryptoGraph,thwqqent,2022-11-18,414,53,3,0,1
jljdqjtg,project-react-4-yujong-lee,pwjigyki,2021-07-07,1044,1140,12,0,1
cbggxvsc,ProjectYOLO,ppicncro,2022-10-07,1102,266,5,0,1
lmpefzva,PausedRecoverTool,lmpefzva,2022-02-03,317,1,4,0,1
cbggxvsc,ProjectYOLO,ppicncro,2022-10-12,496,66,7,0,1
cbggxvsc,ProjectYOLO,ppicncro,2022-10-21,1629,1622,3,0,1
cbggxvsc,ProjectYOLO,ppicncro,2022-11-16,1033,86,9,1,2
cbggxvsc,ProjectYOLO,ppicncro,2022-11-24,165,64,7,2,4
cbggxvsc,ProjectYOLO,ppicncro,2022-10-27,42,12,3,1,1
cbggxvsc,ProjectYOLO,ppicncro,2022-11-23,71,5,3,1,1
cbggxvsc,ProjectYOLO,ppicncro,2022-10-26,47,57,3,1,1
cbggxvsc,ProjectYOLO,ppicncro,2022-11-10,205,42,5,2,3
ytwcduho,dooboo-ui,pwjigyki,2021-09-19,76,96,4,4,1
zhapdphc,2022-G.Ipsa-SolutionChallenge,nkytfnux,2022-03-04,3337,345,5,2,1
zhapdphc,2022-G.Ipsa-SolutionChallenge,nkytfnux,2022-03-27,968,328,1,0,1
zotbxgpu,today-exchange,omdfglzk,2021-05-10,89,17,1,0,2
lejnzilo,OSSP_Team13,kazdbbec,2022-12-02,1253,77,8,6,2
mxvmuzxq,OSS_Team_1,mxvmuzxq,2021-11-24,130,13,1,0,1
hnzodxls,OSS_team7,sehqoxby,2022-05-19,75,0,1,0,1
pvnkzuug,WEB_Millage_ICM,xqxemgpd,2021-10-13,2313,627,31,0,1
pvnkzuug,WEB_Millage_ICM,xqxemgpd,2021-10-01,1236,504,20,0,1
pvnkzuug,WEB_Millage_ICM,xqxemgpd,2021-10-03,952,305,12,0,3
pvnkzuug,WEB_Millage_ICM,xqxemgpd,2021-09-24,651,67,4,0,2
qddaduyv,OSS_Final_Project,hvgdpcdv,2022-05-21,1266,370,5,0,2
acfovdxx,develop,acfovdxx,2020-01-13,43,0,2,0,1
nhaqcrjd,class-intermediate,fovhdtqk,2020-08-08,79,0,3,1,1
bbgdfyjw,codedang,fovhdtqk,2022-03-15,1834,2,3,1,2
bbgdfyjw,codedang,fovhdtqk,2022-11-02,1,1,1,1,1
bbgdfyjw,codedang,fovhdtqk,2022-08-28,123,33,1,0,1
bbgdfyjw,codedang,fovhdtqk,2022-04-17,118,504,1,0,1
bbgdfyjw,codedang,fovhdtqk,2022-08-10,0,18218,1,2,2
fpkvvltj,SKKU-OSP,zypnwnqd,2022-08-30,1385,641,2,0,1
kdascblm,2019-1-OSS-L4,qwnlyebb,2019-06-02,61,45,4,0,1
ipcorhaq,OSSP_final,zypnwnqd,2021-05-23,1711,299,14,0,1
kdascblm,2019-1-OSS-E3,ynxyxocv,2019-06-10,132,35,8,0,1
sfouyrgk,2020-2-OSS-6-Project,byackmcb,2020-12-06,38,13,2,0,1
uvncbhon,LGuplus,uvncbhon,2022-06-14,33563,30,7,0,2
ikrumqno,OSS-Project-Team6,lgtsdsjk,2021-05-21,784,3,4,0,1
gnaytozf,final-project-level3-recsys-01,bbweorzv,2023-02-09,211,96,9,0,10
jyklaafk,java-stock-crawler,tglnnpqf,2021-05-22,318,108,11,0,1
ppicncro,DeveloperAcademy-NC2-WebtoonRecommendation,ppicncro,2022-07-30,22782,22,16,0,3
rztzeufo,MC3-Team11-DBAL,ppicncro,2022-07-25,1360,171,8,3,3
rztzeufo,TipPlace,ppicncro,2022-04-08,496,123,4,0,1
cbggxvsc,ProjectYOLO,ppicncro,2022-11-11,1364,610,13,2,1
ytwcduho,dooboo-ui,pwjigyki,2021-08-02,4,4,2,2,2
ytwcduho,dooboo-ui,pwjigyki,2021-08-09,53,62,1,1,2
fovhdtqk,hun-piano,fovhdtqk,2020-07-26,100,44,8,2,1
cbggxvsc,ProjectYOLO,ppicncro,2022-11-21,118,40,3,1,1
fovhdtqk,hun-piano,yojatftx,2020-08-12,104,34,7,1,1
qmaviegi,OSS_FinalProject_EaTogether,qmaviegi,2021-05-15,1755,32,11,2,2
zotbxgpu,today-exchange,omdfglzk,2021-05-25,537,316895,4,0,1
zotbxgpu,today-exchange,omdfglzk,2021-05-23,1583,1410,13,0,1
urkbciua,RLbench,rmvzbbhu,2022-03-26,22,28,4,0,1
qlbzakhv,Fitness_Helper,qlbzakhv,2021-11-25,74,67,17,1,4
spcoiffp,OSS_team12,spcoiffp,2022-12-01,467611,156312,25,4,3
aevksope,skku-timeTable,jdvhdylv,2021-05-24,38,1,1,0,1
duugifny,final_project,zymhxlmp,2021-11-18,1361,706,6,2,1
duugifny,final_project,zymhxlmp,2021-11-25,41459,3396,8,2,1
jooucrct,WEB_SAMarket_SAMarket,qwnlyebb,2020-10-22,1705,376,4,0,1
pvnkzuug,WEB_Millage_ICM,xqxemgpd,2021-09-20,859,297,6,1,1
jooucrct,WEB_SAMarket_SAMarket,qwnlyebb,2020-10-09,11123,75,3,0,1
jooucrct,WEB_SAMarket_SAMarket,qwnlyebb,2020-10-15,791,244,3,0,2
pvnkzuug,WEB_Millage_ICM,xqxemgpd,2021-10-04,917,305,23,0,6
pvnkzuug,WEB_Millage_ICM,xqxemgpd,2021-10-18,421,92,27,10,2
uydwwham,DownloadDirectoryHelper,wkfqtpcc,2021-05-22,34,4,4,1,2
pvnkzuug,WEB_Millage_ICM,xqxemgpd,2021-09-19,1260,211,8,0,1
yqcdrfuj,react-season-component-web,kkgolznk,2022-02-21,48,15,4,0,2
zfzjfhdj,graphql-schema-generator,pwjigyki,2021-12-23,525,345,5,2,5
qddaduyv,OSS_Final_Project,hvgdpcdv,2022-05-19,4505036,4505033,2,0,1
abgxbiwm,SKKU_Trip_Checker,rmvzbbhu,2022-11-20,489,0,4,2,2
iordbryv,easy_mbti,iordbryv,2021-11-26,596,45,8,1,1
fpkvvltj,SKKU-OSP,wybglbir,2022-08-29,6,5,1,0,1
wgwetnwn,oss-project,tslajkif,2021-11-27,46081,279,9,0,1
fpkvvltj,GitHub_Crawl,wybglbir,2021-10-01,301,33,6,0,1
fpkvvltj,SKKU-OSP,wybglbir,2022-08-10,3831,2047,19,0,2
bbgdfyjw,codedang,fovhdtqk,2022-07-03,23,0,1,0,1
bbgdfyjw,codedang,fovhdtqk,2022-03-31,165,93,1,0,2
bbgdfyjw,codedang,fovhdtqk,2022-03-10,79,0,2,0,1
ytwcduho,dooboo-ui,pwjigyki,2021-09-08,0,0,0,1,1
zwuhuzjn,BoardProject,dvzkrvad,2023-01-29,0,0,0,1,1
xyanlalz,final-project-level3-recsys-13,lcizbtay,2022-06-01,0,0,0,1,2
bbgdfyjw,codedang,tslajkif,2023-01-03,0,0,0,1,1
vewscrbe,gluesql,pwjigyki,2022-07-08,0,0,0,1,1
zhapdphc,2022-G.Ipsa-SolutionChallenge,nkytfnux,2022-03-26,0,0,0,1,1
bbgdfyjw,codedang,yewgoqxc,2023-01-27,0,0,0,1,1
bbgdfyjw,codedang,fovhdtqk,2023-01-23,0,0,0,1,1
bbgdfyjw,codedang,fovhdtqk,2023-01-07,0,0,0,1,2
ogijezlq,johngrib-jekyll-skeleton,pwjigyki,2021-04-22,0,0,0,1,1
bbgdfyjw,codedang,fovhdtqk,2023-01-01,0,0,0,1,1
sparozlc,Mindustry,abanyckv,2020-11-15,0,0,0,1,1
zwuhuzjn,BoardProject-Frontend,dvzkrvad,2023-02-05,0,0,0,1,2
bbgdfyjw,codedang,fovhdtqk,2022-03-12,0,0,0,1,4
bbgdfyjw,codedang,fovhdtqk,2022-04-01,0,0,0,1,1
cbggxvsc,ProjectYOLO,ppicncro,2022-11-03,0,0,0,1,1
zwuhuzjn,BoardProject-Frontend,dvzkrvad,2023-01-22,0,0,0,1,1
vewscrbe,gluesql,pwjigyki,2022-07-10,0,0,0,1,1
bcsffjcd,2021_2_OSS,yzqbtzqg,2021-11-09,0,0,0,1,1
xyanlalz,final-project-level3-recsys-13,lcizbtay,2022-06-10,0,0,0,2,2
ytwcduho,dooboo-ui,pwjigyki,2021-10-07,0,0,0,1,1
bbgdfyjw,codedang,asvpyioe,2022-08-18,0,0,0,1,1
bbgdfyjw,codedang,tslajkif,2023-01-14,0,0,0,1,1
bbgdfyjw,codedang,fovhdtqk,2022-03-30,0,0,0,1,1
xyanlalz,final-project-level3-recsys-13,lcizbtay,2022-06-07,0,0,0,3,2
bbgdfyjw,codedang,yewgoqxc,2022-07-29,0,0,0,2,1
xyanlalz,final-project-level3-recsys-13,lcizbtay,2022-05-31,0,0,0,1,1
bcsffjcd,2021_2_OSS,qlbzakhv,2021-11-09,0,0,0,1,1
bbgdfyjw,codedang,yewgoqxc,2023-01-18,0,0,0,1,2
yqcdrfuj,Amoo,kkgolznk,2023-02-27,0,0,0,1,1
gnaytozf,final-project-level3-recsys-01,bbweorzv,2023-02-13,0,0,0,2,1
dtrutavc,ToMathTo,bmoqdkkf,2021-11-24,0,0,0,1,1
bbgdfyjw,codedang,fovhdtqk,2022-07-02,0,0,0,1,1
gnaytozf,level2_dkt_recsys-level2-recsys-01,bbweorzv,2022-11-22,0,0,0,1,1
pjzqkcwk,ViPYtoJS,vhjnlesb,2022-11-11,41454,20850,15,3,0
pjzqkcwk,ViPYtoJS,vhjnlesb,2022-08-05,231,98,4,2,0
kdascblm,2019-1-OSS-L4,qwnlyebb,2019-06-06,1,1,1,1,0
pjzqkcwk,ViPYtoJS,vhjnlesb,2022-08-04,515,254,12,3,0
pjzqkcwk,ViPYtoJS,vhjnlesb,2022-08-10,2063,115,4,1,0
pjzqkcwk,ViPYtoJS,vhjnlesb,2022-10-06,502,417,7,2,0
pjzqkcwk,ViPYtoJS,vhjnlesb,2022-08-08,8,6,3,1,0
pjzqkcwk,ViPYtoJS,vhjnlesb,2022-10-11,144,104,4,1,0
pjzqkcwk,ViPYtoJS,vhjnlesb,2022-09-16,97,2638,2,1,0
pjzqkcwk,ViPYtoJS,vhjnlesb,2022-11-05,468,333,6,2,0
pjzqkcwk,ViPYtoJS,vhjnlesb,2022-10-25,46,18,4,2,0
pjzqkcwk,ViPYtoJS,vhjnlesb,2022-09-13,176,154,2,1,0
pjzqkcwk,ViPYtoJS,vhjnlesb,2022-09-20,5626,94,2,1,0
pjzqkcwk,ViPYtoJS,vhjnlesb,2022-07-22,388,176,4,2,0
pjzqkcwk,ViPYtoJS,vhjnlesb,2022-09-30,414,296,9,2,0
pjzqkcwk,ViPYtoJS,vhjnlesb,2022-12-14,39,52,2,1,0
niygvsps,Yolov5_DeepSort_Pytorch,zymhxlmp,2021-07-30,4862,4898,4,1,0
sbgnxjcj,2019-2-OSS-L7,mntzycty,2019-11-26,7,5,1,1,0
pjzqkcwk,ViPYtoJS,vhjnlesb,2022-08-09,25347,1149,4,1,0
rkhxream,2020-1-OSS-1,ubcbsoqz,2020-06-05,588,16,6,3,0
pjzqkcwk,ViPYtoJS,vhjnlesb,2022-07-26,831,346,6,3,0
niygvsps,Yolov5_DeepSort_Pytorch,asvpyioe,2021-08-11,8375,5379,6,2,0
pjzqkcwk,ViPYtoJS,vhjnlesb,2022-09-01,59,57,3,1,0
pjzqkcwk,ViPYtoJS,vhjnlesb,2022-11-08,26,20,3,1,0
pjzqkcwk,ViPYtoJS,vhjnlesb,2022-08-25,2711,4342,2,1,0
pjzqkcwk,ViPYtoJS,vhjnlesb,2022-10-26,384,158,2,1,0
niygvsps,Yolov5_DeepSort_Pytorch,zymhxlmp,2021-11-23,10,8,2,1,0
pjzqkcwk,ViPYtoJS,vhjnlesb,2022-10-27,188,54,1,1,0
pjzqkcwk,ViPYtoJS,vhjnlesb,2022-11-07,20,2,1,1,0
rkhxream,2020-1-OSS-2,lbfgdond,2020-05-16,1380,3,2,1,0
niygvsps,Yolov5_DeepSort_Pytorch,asvpyioe,2021-11-26,27,22,3,3,0
pjzqkcwk,WebSite-demo,vhjnlesb,2022-07-11,132607,1,4,1,0
pjzqkcwk,WebSite-demo,vhjnlesb,2022-07-13,1000,45122,14,5,0
pjzqkcwk,WebSite-demo,vhjnlesb,2022-07-15,1960,2087,12,4,0
rkhxream,2020-1-OSS-4,xedzgfvf,2020-06-09,234,65,3,1,0
pjzqkcwk,WebSite-demo,vhjnlesb,2022-07-14,4073,2608,7,2,0
pjzqkcwk,WebSite-demo,vhjnlesb,2022-07-18,839,96,4,2,0
